age,revenu_annuel,montant_credit,duree_mois,anciennete_emploi,nb_credits_en_cours,taux_endettement,historique,type_credit,defaut
24,21000,14000,36,5.5,2,22.2,bon,immobilier,0
58,27700,25900,12,2.2,0,80.0,bon,auto,0
52,41600,20600,60,11.7,1,9.9,neutre,immobilier,0
41,26500,47800,120,2.7,5,18.0,bon,revolving,0
41,31600,48700,24,0.6,0,77.1,bon,personnel,0
62,45300,7400,60,0.4,1,3.3,bon,immobilier,0
24,30500,55900,240,7.0,5,9.2,neutre,auto,0
54,40700,17500,36,7.3,2,14.3,bon,personnel,0
30,80500,31700,84,0.9,0,5.6,neutre,personnel,1
24,33300,13900,36,0.9,5,13.9,mauvais,personnel,0
46,65500,34900,180,8.3,4,3.6,bon,personnel,0
68,48000,160500,12,1.5,5,80.0,bon,immobilier,0
56,17400,29400,36,2.5,4,56.3,mauvais,personnel,1
58,20900,19500,240,6.0,3,4.7,neutre,auto,0
55,23900,22900,60,1.8,4,19.2,bon,auto,0
59,23700,9600,36,0.1,0,13.5,bon,auto,0
45,34700,74200,84,5.1,0,30.5,bon,immobilier,0
26,49400,33500,120,1.0,3,6.8,neutre,immobilier,0
61,68000,12900,48,4.4,2,4.7,bon,revolving,0
42,42400,13200,36,1.1,4,10.4,neutre,personnel,0
45,29100,27200,36,7.4,5,31.2,bon,auto,0
38,15000,51700,180,7.9,1,23.0,bon,immobilier,0
29,37600,12000,36,4.7,1,10.6,bon,auto,0
66,36800,58700,36,0.2,1,53.2,bon,immobilier,0
59,39800,25200,24,7.7,4,31.7,mauvais,personnel,1
52,104100,14000,24,6.1,2,6.7,bon,auto,1
40,67500,19400,60,2.1,2,5.7,neutre,personnel,1
61,53800,91500,48,2.3,4,42.5,bon,auto,0
47,22400,10200,12,9.7,2,45.5,bon,immobilier,0
42,28100,16100,24,13.4,3,28.6,bon,personnel,1
42,34600,52400,12,1.5,4,80.0,bon,immobilier,1
31,24600,31300,12,11.0,1,80.0,mauvais,immobilier,1
24,46600,15500,36,7.5,3,11.1,bon,personnel,0
47,43400,52900,84,3.5,5,17.4,bon,auto,0
64,21100,54600,12,5.6,5,80.0,bon,personnel,1
23,66100,33900,36,7.4,5,17.1,neutre,personnel,0
62,38200,17500,60,0.8,1,9.2,bon,personnel,0
61,15300,19500,84,4.2,3,18.2,mauvais,revolving,0
33,35400,32800,60,8.1,3,18.5,neutre,personnel,0
51,41800,10700,240,1.2,0,1.3,neutre,auto,0
28,59100,68100,36,1.4,3,38.4,bon,auto,0
57,30700,88400,12,2.5,1,80.0,bon,immobilier,0
55,54900,22800,12,0.5,3,41.5,neutre,immobilier,0
37,39900,34500,24,1.8,3,43.2,bon,immobilier,0
23,18800,61700,240,6.1,4,16.4,neutre,personnel,0
68,17900,105800,60,16.9,4,80.0,neutre,auto,0
42,63700,80000,84,17.5,3,17.9,mauvais,immobilier,0
64,66000,8000,240,1.1,2,0.6,bon,personnel,0
53,42700,21600,120,15.5,5,5.1,neutre,personnel,0
58,76700,38200,48,3.3,1,12.5,bon,personnel,0
57,61600,19000,120,2.2,1,3.1,neutre,personnel,0
29,51100,93700,48,2.3,5,45.8,neutre,immobilier,0
38,23000,84200,24,1.3,5,80.0,bon,revolving,0
43,86300,15200,60,10.3,2,3.5,bon,revolving,0
44,47500,24000,180,1.8,5,3.4,bon,personnel,0
22,29900,15900,84,2.6,5,7.6,bon,immobilier,0
47,26000,23500,48,0.5,5,22.6,bon,personnel,0
27,41300,23000,120,0.4,3,5.6,bon,immobilier,0
57,15700,52500,48,9.0,4,80.0,bon,personnel,1
54,51500,14400,60,5.9,3,5.6,bon,immobilier,0
66,22500,4300,36,3.4,0,6.4,bon,immobilier,0
57,43700,8800,36,1.8,0,6.7,neutre,immobilier,0
38,28000,13100,36,0.3,5,15.6,bon,personnel,0
68,31800,17000,120,13.9,1,5.3,neutre,immobilier,0
40,24900,30700,240,0.0,1,6.2,mauvais,personnel,0
36,33500,12600,36,2.4,5,12.5,mauvais,immobilier,0
65,93400,11500,36,6.5,2,4.1,bon,revolving,0
38,72600,14000,24,4.6,4,9.6,bon,personnel,0
23,43400,12300,84,1.0,4,4.0,bon,immobilier,1
43,35900,18200,60,9.1,2,10.1,bon,immobilier,0
59,55400,17700,60,2.7,3,6.4,bon,immobilier,0
29,63900,43600,12,5.8,3,68.2,bon,immobilier,0
43,24000,13500,24,1.7,2,28.1,mauvais,auto,0
26,34900,20900,180,7.0,0,4.0,bon,auto,0
54,15000,18400,60,6.0,0,24.5,bon,immobilier,0
43,63700,47400,36,28.1,4,24.8,bon,personnel,0
36,102000,24100,36,5.7,5,7.9,bon,personnel,0
31,37800,56100,36,1.3,0,49.5,bon,auto,1
48,15000,12000,24,0.2,1,40.0,bon,immobilier,0
53,49200,26000,12,5.0,2,52.8,neutre,personnel,0
67,23100,18000,84,7.6,0,11.1,mauvais,auto,0
41,26100,11400,36,8.9,2,14.6,neutre,immobilier,0
28,49700,25700,48,2.5,5,12.9,neutre,immobilier,1
61,41200,90500,60,23.8,3,43.9,neutre,personnel,0
51,28500,14800,36,4.5,5,17.3,bon,revolving,0
55,26200,24600,48,3.3,2,23.5,neutre,auto,0
24,38700,10700,120,12.6,4,2.8,bon,auto,0
35,29600,9700,36,19.9,5,10.9,neutre,personnel,0
58,20900,15500,84,2.3,3,10.6,bon,immobilier,0
61,30800,19600,36,9.8,4,21.2,bon,revolving,0
41,43000,20300,36,14.8,1,15.7,bon,revolving,0
60,33200,23000,24,2.1,5,34.6,bon,personnel,0
62,17900,8500,60,1.1,5,9.5,neutre,personnel,0
39,59500,17400,48,2.4,3,7.3,neutre,immobilier,0
64,15000,38200,84,5.2,0,36.4,mauvais,personnel,0
34,29100,10400,24,15.2,1,17.9,neutre,personnel,0
31,26600,21000,60,0.6,1,15.8,neutre,immobilier,0
54,39100,33000,12,9.4,5,80.0,neutre,personnel,0
51,48100,15600,36,1.4,0,10.8,neutre,auto,0
26,63800,34200,60,9.4,0,10.7,neutre,immobilier,0
61,25400,9300,24,8.4,5,18.3,bon,personnel,1
29,48700,50100,48,3.2,5,25.7,mauvais,auto,0
60,40100,34800,60,8.9,1,17.4,bon,immobilier,0
20,15400,28000,84,3.8,0,26.0,bon,revolving,1
59,93900,59100,84,3.7,5,9.0,bon,personnel,0
59,17700,21400,24,3.5,4,60.5,neutre,immobilier,0
59,44800,17500,24,0.7,4,19.5,neutre,immobilier,0
53,44100,70300,48,2.9,4,39.9,bon,revolving,0
43,41700,97600,36,1.0,5,78.0,bon,personnel,0
55,28400,16600,36,5.3,3,19.5,neutre,immobilier,0
